region,activitydate,croptype,irrigationhours,fertilizer_amount,anomaly_score,is_anomaly,anomaly_reason
EAST,2023-09-25,Rice,7.186552891058065,6.037441924661757,0.004965686659403001,False,Normal activity pattern
unknown,, wheat ,3.4141579419309496,67.86378853134276,0.0072297149396467475,False,Normal activity pattern
EAST,, wheat ,4.430551841761836,27.424514902367537,0.007644069371242401,False,Normal activity pattern
West ,2023-10-23,Cotton,,22.319967894215097,0.005245341852870622,False,Normal activity pattern
 south,,Maize,1.252510285890538,61.91789562419133,0.007783628841368184,False,Normal activity pattern
unknown,,Wheat,4.658221783915466,50.026064508466646,0.003973982890720373,False,Normal activity pattern
EAST,, wheat ,,31.56304162750598,0.0031081987837897618,False,Normal activity pattern
West ,, wheat ,11.983302319750637,29.41168030340849,0.01674747235091989,False,Normal activity pattern
 south,,Maize,1.080834835891824,71.64812723742563,0.006783283779056015,False,Normal activity pattern
West ,,Cotton,3.748731631016864,,0.005579637300132778,False,Normal activity pattern
EAST,,Cotton,0.3003504357640647,29.638743803545843,0.010882560923402118,False,Normal activity pattern
West ,,Maize,2.285871758866654,95.9822902269035,0.00616312886627346,False,Normal activity pattern
West ,,Cotton,,58.6533408441819,0.003658727814204954,False,Normal activity pattern
EAST,,Cotton,0.3956342553047252,22.010166258042887,0.008700698208642943,False,Normal activity pattern
unknown,2023-12-03,Rice,10.24317887898668,73.87565763376888,0.012260145975614756,False,Normal activity pattern
EAST,,Cotton,,53.71163656773784,0.07012990433118593,True,Missing activity date
EAST,2023-05-10, wheat ,11.351253482238526,71.21146545050601,0.1226158715879857,True,Statistical outlier in local neighborhood (score: 0.123)
EAST,,Maize,11.3183085907088,0.2457395443278498,0.015228922999386163,False,Normal activity pattern
 south,,Rice,4.014046695202973,,0.003946327254936599,False,Normal activity pattern
West ,2023-09-22, wheat ,8.215714529720408,96.5500096807551,0.007514528633197681,False,Normal activity pattern
unknown,2023-10-19,Maize,7.28877393178705,49.39460389642788,0.004835597283596393,False,Normal activity pattern
West ,,Wheat,2.4893066512987208,76.07743171245322,0.006382999269615164,False,Normal activity pattern
unknown,,Maize,0.9200448395817182,19.039471732845996,0.005504412322871688,False,Normal activity pattern
West ,,Maize,0.5648535954115239,27.21357711572944,0.014480756557450292,False,Normal activity pattern
unknown,2023-04-19,Rice,,63.31248681295117,0.005178519210094934,False,Normal activity pattern
West ,, wheat ,8.388342390204048,30.7702836798067,0.00861448312851043,False,Normal activity pattern
West ,, wheat ,0.3644262501394006,3.934328798849762,0.028205217765915336,False,Normal activity pattern
West ,,Cotton,5.619654766153023,28.141701057024022,0.007033189024523101,False,Normal activity pattern
EAST,,Cotton,1.089297092393276,64.43509189146457,0.008374014629782822,False,Normal activity pattern
EAST,,Cotton,,17.14895252031322,0.0034599709429710135,False,Normal activity pattern
unknown,2023-05-31,Cotton,9.099185453206797,75.84593952102759,0.006760924206712149,False,Normal activity pattern
North,,Maize,8.533334269911133,,0.00447727842966017,False,Normal activity pattern
West ,,Rice,8.901017991763123,94.44455553248594,0.004879486227976071,False,Normal activity pattern
West ,,Cotton,5.113239787734389,45.936961677864886,0.023769080979559765,False,Normal activity pattern
West ,2023-08-31, wheat ,2.71309107662677,93.17806900980274,0.014443005223144456,False,Normal activity pattern
West ,, wheat ,10.37941079256422,60.78578642045333,0.009254876350705654,False,Normal activity pattern
 south,,Wheat,0.5728960068993167,50.11766645058994,0.005358370987493588,False,Normal activity pattern
unknown,2023-04-20,Rice,7.582235746282274,67.85748794405819,0.09761479191282474,True,Statistical outlier in local neighborhood (score: 0.098)
EAST,,Rice,8.730311766842249,61.95999498006284,0.01433572930679572,False,Normal activity pattern
unknown,,Rice,3.098492297766094,83.040968807287,0.003757489783216439,False,Normal activity pattern
EAST,, wheat ,1.943346919830228,,0.004099360691071752,False,Normal activity pattern
EAST,2023-07-23,Cotton,2.865533255060248,,0.004979324296417231,False,Normal activity pattern
EAST,,Wheat,5.465994778085265,,0.02776701405708848,False,Normal activity pattern
unknown,,Rice,6.668534750703385,23.963251195864625,0.0056684959526150935,False,Normal activity pattern
 south,, wheat ,6.854273257622513,40.54834095483819,0.007372622719508004,False,Normal activity pattern
North,2023-04-27,Rice,9.461965781095913,58.92639906885451,0.004310492599435167,False,Normal activity pattern
North,2023-12-16, wheat ,,83.85681237994189,0.005439118226505002,False,Normal activity pattern
 south,,Maize,8.467549016522938,92.05264905564373,0.008007439612641387,False,Normal activity pattern
EAST,,Rice,3.2211109510596687,87.31384902412934,0.00349790966362562,False,Normal activity pattern
unknown,,Maize,11.14214395839894,33.57508393800895,0.008657423165998157,False,Normal activity pattern
