stationcode,region,region_type,anomaly_score,is_anomaly,anomaly_reason,stationid,temp_mean,temp_std,temp_count,rain_mean,rain_std,rain_sum
S229,unknown, agro ,0.12862925402536385,False,Normal station,S229,27.216859749016564,10.338339963206062,330.0,25.86384820020746,15.336390946533912,8069.520638464728
S003,SOUTH,Climatic,0.5301373942027595,False,Normal station,S003,30.36000529835081,9.988123015290121,321.0,24.583744419543784,15.08691308881641,7670.12825889766
S074, north, agro ,0.35958247793358855,False,Normal station,S074,25.667775601190804,10.199764890689666,232.0,25.880551802482433,14.175726442996936,5538.438085731241
S422,South ,Climatic,0.0,False,Normal station,,,,,,,
S368,west, agro ,0.26039921675000344,False,Normal station,S368,27.591913819892415,10.65994594220053,426.0,23.488879465604697,14.88095675741497,9160.662991585832
S432,unknown, agro ,0.0,False,Normal station,,,,,,,
S387,SOUTH,Agro,0.3677760178485718,False,Normal station,S387,28.657978008260002,9.435642726274402,700.0,25.273164784327932,14.147292326600867,16680.288757656435
S188,EAST,Climatic,0.5038549255715197,False,Normal station,S188,28.417635119140858,9.907811888104687,375.0,28.673247558303835,14.195833341203654,10064.309892964646
S054,EAST, agro ,0.3221814901782244,False,Normal station,S054,27.455908705926078,10.50617655601132,630.0,24.393418246321556,14.591932032264912,14270.149674098111
S229,South ,Climatic,0.1285722749305494,False,Normal station,S229,27.216859749016564,10.338339963206062,330.0,25.86384820020746,15.336390946533912,8069.520638464728
S315,unknown,Agro,0.1967357412515789,False,Normal station,S315,27.689543235596414,10.222206583044635,202.0,23.546425619888147,15.524420520056468,4332.542314059419
S303,unknown,Agro,0.2292418891905495,False,Normal station,S303,27.063050533873284,10.166240402233054,336.0,23.314899542017198,14.574291718222687,7693.916848865675
S449,SOUTH,Agro,0.0,False,Normal station,,,,,,,
S248,South , agro ,0.2452188349493923,False,Normal station,S248,27.87974599864596,9.756860993176842,208.0,26.67784693387245,14.050414280334133,5495.636468377725
S423,EAST,Climatic,0.0,False,Normal station,,,,,,,
S137,SOUTH,Agro,0.09202299814869756,False,Normal station,S137,27.615297841746706,10.673244828513049,266.0,25.628639269717407,14.153690201797737,6253.387981811047
S421,SOUTH,Agro,0.0,False,Normal station,,,,,,,
S297,unknown,Agro,0.6702197647320405,True,Unusual observation count (920 vs regional avg 357),S297,30.040277555579305,9.901105180532866,920.0,26.289828810420282,15.26575337535941,23766.005244619933
S019,SOUTH,Climatic,0.2629152177826471,False,Normal station,S019,27.070988048959308,10.18023407757482,532.0,26.76855763881064,13.605606620679552,14026.724202736776
S319,South , agro ,0.2069243190431183,False,Normal station,S319,28.570124451978753,9.68216714293307,378.0,24.097997662620347,14.031596489964125,8892.161137506908
S011,SOUTH,Climatic,0.2477288689100398,False,Normal station,S011,28.409923595770987,9.72290160988856,428.0,26.66752859224181,14.818895855481388,10987.021780003624
S313,South , agro ,0.35170383226106144,False,Normal station,S313,25.718205642078747,9.624767925542379,112.0,25.759231323527782,14.986720803636334,2807.7562142645284
S445,SOUTH, agro ,0.0,False,Normal station,,,,,,,
S146,west, agro ,0.22402419262727777,False,Normal station,S146,26.561480820177625,10.03622336916249,438.0,25.85525841451383,14.7280096346693,10781.642758852267
S247,unknown,Climatic,0.3307458959768053,False,Normal station,S247,28.36937918481347,9.167475867818695,635.0,26.054881610096714,14.87084426125179,15372.380149957062
S387,SOUTH, agro ,0.3677760178485718,False,Normal station,S387,28.657978008260002,9.435642726274402,700.0,25.273164784327932,14.147292326600867,16680.288757656435
S350,west,Agro,0.2661645809605785,False,Normal station,S350,27.110821690023624,9.90081452719988,222.0,26.986525358525817,14.731619640319991,5667.170325290422
S395,South , agro ,0.3445083426397374,False,Normal station,S395,26.321058760762007,10.578221890424336,456.0,27.370722347541786,13.726549080479916,12809.498058649557
S024,South , agro ,0.20578419660631425,False,Normal station,S024,28.56430387774611,10.87659106239651,321.0,24.564069824823434,14.124714142429475,7442.913156921501
S411,South , agro ,0.0,False,Normal station,,,,,,,
S058,EAST,Agro,0.2027859626546727,False,Normal station,S058,27.52154459195116,10.108481722292971,524.0,24.438165403543188,14.26285827526766,12512.340686614112
S355,SOUTH,Agro,0.11350928089155647,False,Normal station,S355,27.17148393282602,10.134102627464344,460.0,24.49667804476336,14.79140614806941,10778.538339695879
S256,EAST,Climatic,0.3841346466650323,False,Normal station,S256,29.512402535459522,9.784122000689305,600.0,25.96275743308592,13.56212541531362,14409.330375362684
S116,EAST, agro ,0.2545214352185539,False,Normal station,S116,27.357027638321775,10.00763436347725,118.0,26.46325379588628,14.98983350915603,3043.274186526922
S430, north,Agro,0.0,False,Normal station,,,,,,,
S054, north,Agro,0.37930459943603906,False,Normal station,S054,27.455908705926078,10.50617655601132,630.0,24.393418246321556,14.591932032264912,14270.149674098111
S446,South ,Climatic,0.0,False,Normal station,,,,,,,
S175,west,Agro,0.17835386057235283,False,Normal station,S175,27.9353251076219,10.196573498113423,448.0,26.403251675724835,15.00511160034655,11511.817730616029
S281,EAST,Agro,0.25677418102088506,False,Normal station,S281,27.80798179526284,9.776788157393504,116.0,25.448184858999884,14.407300317781413,2799.300334489987
S131,North,Agro,0.32230321244200516,False,Normal station,S131,28.294353243595893,10.1174761564666,297.0,27.431414688054694,12.997659263996505,7982.541674223916
S016,South ,Climatic,0.42076286607944996,False,Normal station,S016,29.661816972577363,10.022067097791169,576.0,26.379399135676675,14.62215831747538,14244.875533265404
S095,South , agro ,0.1858224955674992,False,Normal station,S095,27.336751513117132,9.76427638419196,250.0,23.669896273850046,14.243923228424247,5633.435313176311
S206, north,Climatic,0.3971960857097609,False,Normal station,S206,25.472464731916205,10.69870431901285,224.0,23.63805193154313,14.161710630128988,4774.8864901717125
S296,EAST,Agro,0.21539716857043595,False,Normal station,S296,28.6830416307674,10.447001849077983,238.0,24.958263727390936,14.341755618293584,5640.567602390352
S314,unknown,Climatic,0.2950118045288858,False,Normal station,S314,28.08811682677505,10.008309310369816,605.0,24.049555215245725,15.190939303309259,14068.98980091875
S247, north,Climatic,0.3853870978234034,False,Normal station,S247,28.36937918481347,9.167475867818695,635.0,26.054881610096714,14.87084426125179,15372.380149957062
S003,EAST,Agro,0.5565835188353223,False,Normal station,S003,30.36000529835081,9.988123015290121,321.0,24.583744419543784,15.08691308881641,7670.12825889766
S197,North, agro ,0.18660815637971,False,Normal station,S197,27.038882447551497,9.649565067810633,460.0,23.670591786621138,16.02371684458241,9941.648550380878
S336, north,Agro,0.19443770903268165,False,Normal station,S336,26.525299520781996,9.692122331708044,363.0,26.38397222404316,14.258765928521646,9181.62233396702
S126,South , agro ,0.11561393467334077,False,Normal station,S126,27.0623661550946,10.0719616202949,357.0,25.77342056515278,15.036512480808401,8350.588263109501
S247,North, agro ,0.34655871569011515,False,Normal station,S247,28.36937918481347,9.167475867818695,635.0,26.054881610096714,14.87084426125179,15372.380149957062
S359,SOUTH, agro ,0.24458304032290673,False,Normal station,S359,27.41359816646458,9.87920198047578,122.0,25.925952513108445,13.57729254847533,2981.484539007471
S244,west,Climatic,0.24450004238381431,False,Normal station,S244,26.462849135431018,9.927406784980462,369.0,23.777445298938208,15.381172629556794,8631.21264351457
S144, north, agro ,0.25570823220479605,False,Normal station,S144,27.799290718220252,10.262217201120684,108.0,26.38100750337461,15.691515471587016,2954.6728403779566
S269,SOUTH, agro ,0.2539691133925794,False,Normal station,S269,26.44762218290941,10.240878310043124,360.0,23.487409220503455,13.520347116539467,8314.542864058223
S241,South ,Agro,0.3582512282488199,False,Normal station,S241,29.342681398491774,10.161463507193814,99.0,22.844952139244405,14.52784778236852,2124.5805489497297
S393, north, agro ,0.12331382620968367,False,Normal station,S393,28.175243044701,10.46652438343335,244.0,25.72771698566387,14.831280991815175,5557.186868903396
S331,South , agro ,0.3348565087098681,False,Normal station,S331,27.212336353708057,10.47433176452016,575.0,25.96003244676973,15.016087700208873,14667.418332424897
S027,EAST,Agro,0.25459911610828945,False,Normal station,S027,28.498386834679142,9.762489251683709,570.0,25.819581705791858,13.751702822468424,13297.084578482807
S196,South ,Agro,0.15847597943942343,False,Normal station,S196,27.746881791190926,10.103354924852685,240.0,26.07252625807889,13.729840484763534,5683.810724261199
S403,west,Agro,0.0,False,Normal station,,,,,,,
S054,EAST,Agro,0.3221814901782244,False,Normal station,S054,27.455908705926078,10.50617655601132,630.0,24.393418246321556,14.591932032264912,14270.149674098111
S445,west,Agro,0.0,False,Normal station,,,,,,,
S158,North, agro ,0.4428786309549734,False,Normal station,S158,26.025942942460386,9.537254417236262,256.0,26.73162910808562,14.05237915006573,6415.590985940549
S242,North, agro ,0.20823068432420558,False,Normal station,S242,27.05968677363325,10.31670415920937,460.0,23.510802669571497,14.422803347933073,10720.926017324602
S367,South , agro ,0.4164735318212781,False,Normal station,S367,27.79816926705154,9.649866581554296,635.0,27.09089393850415,13.990289951432828,15983.627423717448
S374,North, agro ,0.13881594094214653,False,Normal station,S374,28.021693775450398,9.842685153285919,381.0,26.075455330385143,15.268132045594962,9308.937552947496
S124,west,Agro,0.2672065767737977,False,Normal station,S124,28.927727836125428,10.46380203975833,294.0,26.04849014667723,13.657755011863062,7658.256103123106
S159,South , agro ,0.1509887979822026,False,Normal station,S159,27.31674104104427,10.266744487233932,388.0,26.02027820015148,14.05740336245304,9783.624603256956
S071, north,Climatic,0.16197709138457322,False,Normal station,S071,26.693853185928116,10.440636882131402,240.0,26.323360226383574,14.202613867159638,5843.785970257153
S019, north,Agro,0.2600876310436984,False,Normal station,S019,27.070988048959308,10.18023407757482,532.0,26.76855763881064,13.605606620679552,14026.724202736776
S438,North,Climatic,0.0,False,Normal station,,,,,,,
S114,west,Climatic,0.3282337839380162,False,Normal station,S114,26.059505679709897,9.774355463012922,228.0,26.34711595047103,13.725562092901137,5796.365509103626
S101,unknown,Climatic,0.46651419317202747,False,Normal station,S101,25.288179096154998,9.217814267485616,210.0,25.71527407407211,15.417450075615548,5143.054814814422
S397,unknown,Climatic,0.3395829303036593,False,Normal station,S397,28.036999506421164,10.449890816101039,387.0,22.528991949241856,14.727844592671465,8448.371980965696
S303,EAST,Climatic,0.23741022817308507,False,Normal station,S303,27.063050533873284,10.166240402233054,336.0,23.314899542017198,14.574291718222687,7693.916848865675
S255,EAST,Agro,0.40463061747593915,False,Normal station,S255,25.63554553578965,9.553418362235087,218.0,24.41326581458296,14.479001169849614,5273.26541594992
S394,North, agro ,0.2679414265515671,False,Normal station,S394,28.698097012567825,10.417602938152656,232.0,26.09272990290016,14.285746523998435,5688.215118832235
S090,unknown,Agro,0.06041110299648454,False,Normal station,S090,27.79850159651342,10.00506749614476,390.0,24.802157165558445,14.688305220365931,9375.215408581093
S059,SOUTH,Agro,0.21521597567436263,False,Normal station,S059,28.735055085148936,9.756519259320916,556.0,24.34687212589576,13.82162664655048,12465.59852845863
S082,west,Climatic,0.1742556456276351,False,Normal station,S082,26.801214735806617,10.304236265153802,258.0,24.620444106937537,14.610193327755326,5958.147473878884
S163,unknown,Agro,0.2686592412930722,False,Normal station,S163,26.7141443445949,10.26281294654341,226.0,26.8612162610826,15.158407220544417,5963.190009960337
