stationid,observationdate,rainfall,rain_unit,temperature,temperature_unit
S103,2023-10-22,34.205188832672086,,42.047014307893896,C
S349,,46.30345470237838,,11.38795285203436, celsius 
S271,2023-06-11,1.2137479116109462, INCH,25.441760372486293,c
S107,,48.97549700283012,MM,17.432111697545118,Celsius
S072,2023-04-23,17.290653527522988, INCH,43.63504398194182, celsius 
S189,,37.41253324285599,inch,27.69236135212412, celsius 
S021,,13.959559162875165,MM,19.70372484026386,c
S103,,20.73393683385756,,13.512325447206592,C
S122,,43.798872895523765,,23.59900640376417,Celsius
S215,2023-04-07,22.40941269396307, INCH,32.817681288591274,C
S331,2023-11-08,44.24175258135824,MM,36.26446234024557,c
S088,2023-10-03,27.45077772531401, INCH,41.615248856964975, celsius 
S373,,13.204928321067069,MM,43.6276789779117,Celsius
S100,2023-07-30,24.3166273852952, INCH,15.64477180718018,c
S360,,4.437176060181974, INCH,17.12789617014816, celsius 
S152,2023-02-19,23.90693466119717,MM,41.02336988686066, celsius 
S131,,39.383396956411794,,31.425471345090784, celsius 
S150,2023-06-30,3.4425662849701557, INCH,22.488793291272135,Celsius
S309,2023-05-04,11.671328638051676,inch,19.689517236367355, celsius 
S258,,21.12226369734302,mm,16.836931750736635, celsius 
S344,2023-07-10,37.89164149767457,,33.63583395516939,C
S294,,37.55450900280245,,18.32913560734611,c
S386,2023-07-09,44.364570453928266,mm,35.98291132774733, celsius 
S192,2023-04-27,,mm,23.85295423377173,C
S277,,7.786470450781424,,43.656639665036096,Celsius
S161,,,MM,26.298886628044475,C
S314,,,mm,42.96070248226947,C
S022,2023-03-19,20.69176321381904,,20.866554402206,Celsius
S253,2023-08-27,26.97011350028589,inch,17.852073190615044,C
S236,,,mm,40.092479262472736,C
S345,2023-11-27,34.57772103023116, INCH,18.31142704042509,Celsius
S049,2023-08-27,,,16.308525461829806,Celsius
S059,2023-06-03,0.6090272699586396,mm,22.97255423210577,C
S170,,14.463235251970962,inch,,c
S188,2023-05-12,35.60964603218992, INCH,28.92671885753948,Celsius
S271,,13.779733223006808,inch,23.056304299550533, celsius 
S190,2023-03-31,26.147744955998892,inch,32.52812445097108, celsius 
S175,,37.82317105629088,mm,40.93294971983059, celsius 
S051,2023-08-19,17.18547454104241,MM,21.815790435662272,C
S364,2023-01-04,39.37826083152697,mm,,Celsius
S055,,40.80682906187331, INCH,15.53625723249495,c
S244,,49.55466967918653,MM,10.33514749188381, celsius 
S320,2023-09-07,21.61563158504237, INCH,13.627380907787805,C
S131,2023-03-29,23.789851854634357,,37.300376684986105,C
S307,2023-01-30,39.14437474204248, INCH,40.9174714266668,Celsius
S135,2023-09-19,43.39892774332243, INCH,31.64717766213002,Celsius
S021,2023-10-01,25.26150234584896, INCH,33.95682854102517,C
S329,2023-10-23,1.0861839970057183, INCH,29.231915592440718,C
S167,,22.901733467796543,mm,41.60166257644215,Celsius
S274,,11.262190506846744, INCH,26.257880344658982, celsius 
S388,2023-01-30,,MM,21.38136437585994,Celsius
S089,2023-09-02,16.96195796302297,mm,12.58924616637688,C
S316,2023-10-14,19.596044443721823,inch,33.920366125320825,Celsius
S014,,49.08250277941162,mm,, celsius 
S242,2023-09-03,22.7622700471703,MM,27.624184263889177,Celsius
S265,,48.37864745583396,mm,43.25373038974502,c
S346,2023-02-24,36.61953188053905,,24.60453820813953,Celsius
S053,,12.654302749069664,,23.873781649983396, celsius 
S386,,35.09824637456381,inch,12.3295812842819,C
S340,2023-04-07,20.1328768840453, INCH,, celsius 
S092,,28.963822589901145,mm,20.97219132708617,Celsius
S367,,25.963292944402127,MM,24.31663885629193,Celsius
S264,2023-06-25,46.59084614545288,inch,12.492987853692693,Celsius
S035,2023-05-26,6.485407891614808,mm,26.72622817369585,Celsius
S206,2023-09-10,22.196718481539484,inch,41.48087157860823, celsius 
